Product Name,Prices,Description,Reviews
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹38,599","12 GB RAM | 256 GB ROM
17.09 cm (6.73 inch) Full HD+ Display
50MP + 50MP + 50MP | 32MP Front Camera
4600 mAh Lithium Polymer Battery
Snapdragon 8 Gen 1 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.2
,"₹44,999",,5
,"₹44,999",,1
,"₹38,599",,4.4
,"₹34,999",,5
,"₹41,219",,1
,,,4.1
,,,5
,,,5
,,,4.3
,,,5
,,,4
,,,4.3
,,,4
,,,4
"REDMI Note-14 Pro 5G (Phantom Purple, 128 GB)","₹23,449","8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Display
50MP + 8MP + 2MP | 20MP Front Camera
5500 mAh Battery
Dimensity 7300 Ultra Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.3
"REDMI Note 14 Pro 5G (Titan Black, 256 GB)","₹24,999","8 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Display
50MP + 8MP + 2MP | 20MP Front Camera
5500 mAh Battery
Dimensity 7300 Ultra Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.3
"IQOO 3 (Quantum Silver, 256 GB)","₹40,990","8 GB RAM | 256 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
48MP + 13MP + 13MP + 2MP | 16MP Front Camera
4440 mAh Li-ion Battery
Qualcomm Snapdragon 865 Processor
In-Display Fingerprint Sensor, Monster Touch Buttons
55 W Super Flash Charge
Super AMOLED Display
Brand Warranty of 1 Year Available for Mobile and Accessories",4.5
"Samsung A56 5G (Black, 256 GB)","₹47,999","12 GB RAM | 256 GB ROM
17.02 cm (6.7 inch) Full HD+ Display
50MP + 12MP
5000 mAh Battery
1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",4.3
"REDMI Note 14 Pro+ 5G (Titan Black, 128 GB)","₹27,999","8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Display
50MP + 50MP + 8MP | 20MP Front Camera
6200 mAh Battery
7s Gen 3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.4
"realme GT 7 Pro (Grey, 256 GB)","₹49,999","12 GB RAM | 256 GB ROM
17.22 cm (6.78 inch) Display
50MP Rear Camera
5800 mAh Battery
1 Year",4.4
"IQOO 3 (5G) (Tornado Black, 256 GB)","₹46,990","12 GB RAM | 256 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
48MP + 13MP + 13MP + 2MP | 16MP Front Camera
4440 mAh Li-ion Battery
Qualcomm Snapdragon 865 Processor
In-Display Fingerprint Sensor, Monster Touch Buttons
55 W Super Flash Charge
Super AMOLED Display
Brand Warranty of 1 Year Available for Mobile and Accessories",4.4
"Samsung A36 5G (White, 256 GB)","₹36,999","12 GB RAM | 256 GB ROM
17.02 cm (6.7 inch) Full HD+ Display
50MP + 8MP | 2MP Dual Front Camera
5000 mAh Battery
1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",4.6
"vivo X90 Pro (Legendary Black, 256 GB)","₹59,980","12 GB RAM | 256 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
50MP + 50MP + 12MP | 32MP Front Camera
4870 mAh Battery
Dimensity 9200 Processor
1 Year Handset and 6 Months Accessories",4.5
"Apple iPhone 8 Plus (Gold, 64 GB)","₹49,900","64 GB ROM
13.97 cm (5.5 inch) Retina HD Display
12MP + 12MP | 7MP Front Camera
A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor
Brand Warranty of 1 Year",4.2
"OnePlus 12R (Iron Gray, 128 GB)","₹41,499","8 GB RAM | 128 GB ROM
17.22 cm (6.78 inch) Display
50MP Rear Camera
5500 mAh Battery
1 Year Brand Warranty",4.6
"vivo V23 Pro 5G (Sunshine Gold, 256 GB)","₹40,990","12 GB RAM | 256 GB ROM
16.66 cm (6.56 inch) Full HD+ Display
108MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera
4300 mAh Lithium Battery
Mediatek Dimensity 1200 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.6
